SubjectID,Group,A_avg_cost_time,B_avg_cost_time,C_avg_cost_time,A_coarse_grained_total_time,B_coarse_grained_total_time,C_coarse_grained_total_time,A_fine_grained_total_time,B_fine_grained_total_time,C_fine_grained_total_time,A_total_key_presses,B_total_key_presses,C_total_key_presses,A_total_effective_key_presses,B_total_effective_key_presses,C_total_effective_key_presses,A_delete_proportion,B_delete_proportion,C_delete_proportion,A_interval_2000_15000,B_interval_2000_15000,C_interval_2000_15000,A_interval_15000_180000,B_interval_15000_180000,C_interval_15000_180000,A_interval_180000_600000,B_interval_180000_600000,C_interval_180000_600000,A_1_Moment,B_1_Moment,C_1_Moment,A_2_Moment,B_2_Moment,C_2_Moment,A_3_Moment,B_3_Moment,C_3_Moment,A_4_Moment,B_4_Moment,C_4_Moment,A_5_Moment,B_5_Moment,C_5_Moment,A_6_Moment,B_6_Moment,C_6_Moment,A_7_Moment,B_7_Moment,C_7_Moment,A_order_pair_1_Moment,B_order_pair_1_Moment,C_order_pair_1_Moment,A_order_pair_2_Moment,B_order_pair_2_Moment,C_order_pair_2_Moment,A_order_pair_3_Moment,B_order_pair_3_Moment,C_order_pair_3_Moment,A_order_pair_4_Moment,B_order_pair_4_Moment,C_order_pair_4_Moment,A_order_pair_5_Moment,B_order_pair_5_Moment,C_order_pair_5_Moment,A_order_pair_6_Moment,B_order_pair_6_Moment,C_order_pair_6_Moment,A_order_pair_7_Moment,B_order_pair_7_Moment,C_order_pair_7_Moment,A_grade,B_grade,C_grade,exam_avg
S015,Spring,217926.34057971011,295316.2859649123,441880.36410256405,150369175,168330283,172333342,150369175.0,168330283.0,172333342.0,691,571,391,447,121,115,0.09406657018813314,0.3362521891418564,0.26854219948849106,23,63,90,6,17,15,0,0,1,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0004557202525374257,0.0013702715215563389,0.0012954539612008834,3.613600795135052e-05,0.0004037130279394883,0.0003091608821560485,4.160229755853856e-06,0.00013651718747128406,9.011726216551845e-05,5.129778004706033e-07,4.675300399694256e-05,2.7324520640250067e-05,6.60838914487484e-08,1.6061235193979236e-05,8.385281768807307e-06,8.705158807454592e-09,5.521715106072085e-06,2.5824231727194035e-06,0.00039999999999999996,0.0004,0.0004,3.9064915112565375e-06,3.31123665447331e-05,4.4448882208604704e-05,-8.324451779032238e-07,6.006720224754541e-06,9.567187973422458e-06,9.454168207538169e-09,1.7816734071071552e-06,3.0471773254425146e-06,-3.67352835296576e-11,4.5725424794984485e-07,8.935252549804956e-07,2.5252907540600877e-12,1.1799436040095292e-07,2.6341118544468003e-07,6.254583269461693e-14,3.044316748725048e-08,7.768262717655253e-08,100.0,95.0,93.0,85.0
S016,Spring,51945.4081632653,922705.3370165746,812163.7272727273,45815850,167009666,8933801,45815850.0,167009666.0,8933801.0,883,182,12,221,115,10,0.3510758776896942,0.1153846153846154,0.08333333333333333,148,16,2,37,8,4,2,0,0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0015987158826579044,0.0006334170142837674,0.009614478273164292,0.0005827729795805298,5.9289460246894986e-05,0.009427789374656251,0.00022773001287336447,7.238705122258992e-06,0.009337163695768851,8.909744401253918e-05,9.109473532592674e-07,0.009246502822443046,3.4865589955534524e-05,1.169426318560267e-07,0.009156731035803884,1.3643797164262047e-05,1.5173006068789112e-08,0.009067830733656052,0.0004,0.0004000000000000001,0.0,2.5362896031978787e-05,7.4439130249049495e-06,0.0,3.419373888415522e-06,-7.497691772194985e-07,-9.151416593531597e-07,9.390746393127215e-07,1.5596976021265288e-08,8.884870479156886e-09,2.0377556324561747e-07,3.214792089745117e-10,-8.626087843841636e-11,4.472983507732469e-08,2.5002978329943565e-11,8.374842566836539e-13,9.816979883523434e-09,1.466569894471969e-12,-8.130915113433533e-15,100.0,95.0,100.0,72.0
S017,Spring,989.5602094240836,1429.2509025270758,1627.5085851648353,756024,2375415,4739305,756024.0,2375415.0,4739305.0,765,1663,2913,448,929,1486,0.13856209150326798,0.15514131088394467,0.18709234466186064,49,112,238,9,34,55,0,0,0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.00047290330013301056,0.00046352615086131565,0.0005266417187882761,4.0722962867517076e-05,4.4089312774642616e-05,6.598867933230718e-05,4.745363485911213e-06,5.885911293319301e-06,1.1190840983988153e-05,5.749261035446007e-07,8.337425052912442e-07,1.989995704477025e-06,7.135756416876138e-08,1.2184989040784683e-07,3.6000378494040913e-07,8.962734208360386e-09,1.807395226928137e-08,6.548789371836412e-08,0.0004000000000000001,0.0004,0.0004,6.803904565784607e-06,6.5378437374308925e-06,1.084394237011117e-05,-5.336736264715093e-07,-4.5817215309199583e-07,2.516780299710363e-07,3.828104026002471e-08,4.709887111091842e-08,1.639648265694231e-07,2.6993222232014964e-09,3.7837637387692465e-09,2.179402254134881e-08,2.590019762737097e-10,3.8423694371877715e-10,3.073216824647032e-09,2.3995374379836387e-11,3.80711256059441e-11,4.3156733465652003e-10,100.0,100.0,100.0,81.0
S018,Spring,1993.8769665900652,500002.4986225895,915.7646146689407,11279362,181500907,5905766,11279362.0,181500907.0,5905766.0,5658,364,6450,3386,41,3240,0.14634146341463414,0.4093406593406593,0.17054263565891473,442,28,302,140,9,54,4,1,1,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.00040599819926274625,0.0018899038078993903,0.0005934224154604427,3.337673027178131e-05,0.0007332962090223348,6.823231546296615e-05,4.161738992399649e-06,0.00030855535328293444,1.0035157880764568e-05,5.562746040495264e-07,0.00013021028576909387,1.5326934225458768e-06,7.675922992665372e-08,5.496948300687687e-05,2.3892526447256504e-07,1.0714949098590108e-08,2.3206671041894432e-05,3.768336027492803e-08,0.0004000000000000001,0.0004,0.0004,6.372949316482414e-06,6.696703985185754e-05,8.496738574543143e-06,-5.8376056772984e-07,2.3586522291879384e-05,-1.5280625113120592e-07,3.1205821628457175e-08,9.649608876439737e-06,9.263067735694041e-08,1.905101515028308e-09,3.7986622295506983e-06,1.0097321325585476e-08,1.7287495998144808e-10,1.496774588603099e-06,1.2272948081472167e-09,1.4940724885955437e-11,5.897557602578035e-07,1.4782974140828239e-10,100.0,100.0,100.0,72.0
S019,Spring,101063.2442893401,71420.96399006622,41593.65759961823,159275673,172553049,174319019,159275673.0,172553049.0,174319019.0,1577,2417,4192,1019,1309,1664,0.1109701965757768,0.17790649565577166,0.24928435114503816,108,161,274,26,68,70,1,8,9,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.00042706150013305114,0.000547556848762163,0.0007682492321571939,3.0392000253971523e-05,6.139426505077453e-05,0.00015013876589845804,2.9207782100622175e-06,9.556467980189105e-06,3.573237142630339e-05,2.9102087476122185e-07,1.5905405031728812e-06,8.696168202694309e-06,2.98692591221111e-08,2.724200724367009e-07,2.130027806026586e-06,3.1129248403471277e-09,4.713806359803086e-08,5.226302144830844e-07,0.0004,0.0004,0.0004,4.64918753188339e-06,8.23240705734089e-06,2.052077715889654e-05,-7.269153915650896e-07,-2.2749882543828832e-07,2.8424844211993768e-06,1.682912343573837e-08,8.114302313708927e-08,7.845714993883011e-07,5.054180561799511e-10,8.393938149070194e-09,1.6287282755292022e-07,4.0529410197420214e-11,9.852964497519221e-10,3.420335338799286e-08,2.6989324794372386e-12,1.1439263433820148e-10,7.178908692894691e-09,100.0,99.0,92.0,63.0
S020,Fall,769.996300863132,2611.6898238747553,3275.204193971167,624467,2669147,12494904,624467.0,2669147.0,12494904.0,812,1023,3816,468,570,2485,0.13054187192118227,0.17302052785923755,0.1229035639412998,48,49,211,6,27,52,0,3,8,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0005228699265120106,0.0004843625316084027,0.00032601608870119514,4.700826140288096e-05,4.9602477345472784e-05,2.1266226085896667e-05,5.60843230287661e-06,7.543059716634227e-06,2.0969147663459276e-06,6.949361851275279e-07,1.2173004226654617e-06,2.2202086525599328e-07,8.802898718596825e-08,2.0024067925614335e-07,2.4592671586961835e-08,1.1255486886337852e-08,3.3092321962925506e-08,2.780267011093157e-09,0.00039999999999999996,0.00039999999999999996,0.00039999999999999996,7.184326559704208e-06,1.140587890732929e-05,5.516003450468444e-06,-5.164611066447275e-07,1.9490170973735492e-07,-6.427448473988746e-07,4.124439301432538e-08,1.549721127992329e-07,2.5205076714586036e-08,3.0470446538255177e-09,2.020149992295378e-08,1.2901671814373789e-09,2.9848317265380524e-10,2.8070048509882933e-09,1.1121353888342929e-10,2.8331761617728707e-11,3.8826114974438683e-10,8.905348322001883e-12,100.0,100.0,95.0,81.0
S021,Spring,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
S022,Spring,53452.571531966234,0.0,0.0,221560909,0,0,221560909.0,0.0,0.0,4146,0,0,2180,0,0,0.15918958031837915,0.0,0.0,212,0,0,37,0,0,8,0,0,0.009708737864077669,0.0,0.0,0.0005257426487995071,0.0,0.0,5.452274073143273e-05,0.0,0.0,7.486739867676291e-06,0.0,0.0,1.0709736639068604e-06,0.0,0.0,1.5674355488071449e-07,0.0,0.0,2.3239528331302e-08,0.0,0.0,0.0004,0.0,0.0,6.875762868508895e-06,0.0,0.0,-3.788563356551349e-07,0.0,0.0,5.80018601420576e-08,0.0,0.0,5.188215928749272e-09,0.0,0.0,5.571926150192087e-10,0.0,0.0,5.878373627876267e-11,0.0,0.0,100.0,0.0,0.0,60.0
S023,Fall,31683.325973504616,2850.1539077087227,10606.368355293049,78923165,10685227,93378467,78923165.0,10685227.0,93378467.0,2492,3750,8805,736,367,2298,0.3073836276083467,0.4146666666666667,0.3144804088586031,174,215,566,32,98,165,2,11,14,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.001112536472000269,0.0017576526590742604,0.0011272776725471116,0.0002874373212412246,0.0006646421833052606,0.00030290856952677617,8.661793533586716e-05,0.0002708322449122661,9.303705071168038e-05,2.6481536355842345e-05,0.00011063205039115287,2.8939667828729436e-05,8.12209723890317e-06,4.520703148471264e-05,9.03132007922545e-06,2.4926754431420528e-06,1.8473304265482642e-05,2.820721338391363e-06,0.0004,0.0004,0.00039999999999999996,3.036888093171295e-05,5.332620083265145e-05,3.165797321800727e-05,6.081865706543877e-06,1.6379697588300256e-05,6.748289414033367e-06,1.8070034876365513e-06,6.058194907415918e-06,2.0386027082575263e-06,4.6569565944371993e-07,2.121502909298721e-06,5.418615044299378e-07,1.2061549850954668e-07,7.440132864915874e-07,1.4465464324494996e-07,3.123371294016225e-08,2.6091572996228046e-07,3.8610760626989905e-08,100.0,100.0,90.0,60.0
S026,Spring,51858.95093632959,4163.8382295338815,2943.613991642161,138463399,10630279,19018690,138463399.0,10630279.0,19018690.0,2671,2554,6462,1040,1053,1855,0.24447772369898915,0.23531714956930305,0.3169297431135871,244,234,762,80,70,208,11,2,8,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0008137633720709846,0.0007375465982445506,0.0011480078310132378,0.00015333633485293069,0.00012819975607238863,0.0003281907630389086,3.583783683372715e-05,2.8454976516000364e-05,0.00010502829579664763,8.630917187873106e-06,6.510810411285927e-06,3.3815353973975044e-05,2.1008918065981164e-06,1.5029566810010462e-06,1.0899327135931005e-05,5.132869626423717e-07,3.4778536215944975e-07,3.51362728868457e-06,0.00039999999999999996,0.0004,0.0004,1.4997254519281594e-05,1.5751472664281442e-05,3.196960333209626e-05,1.2620250959063263e-06,1.367102911436938e-06,6.890876641289837e-06,3.7759875460145017e-07,4.029315050442005e-07,2.0894790158464424e-06,6.4308239477296e-08,6.986585192721433e-08,5.588898208001647e-07,1.1224824358265823e-08,1.2397275207675457e-08,1.501258432264179e-07,1.9565757981029032e-09,2.197038991469639e-09,4.031983249164037e-08,100.0,100.0,100.0,62.0
S027,Spring,22684.87068965517,38654.85789155412,1823.3893178078727,10525780,383533500,14406599,10525780.0,383533500.0,14406599.0,465,9923,7902,206,3773,3657,0.23440860215053766,0.2528469212939635,0.1961528726904581,80,831,488,32,218,100,2,6,7,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0008798129506627027,0.0008512411231092767,0.0006745878595645316,0.00019736212736028042,0.00016800304669646886,9.104016155604289e-05,5.273566834577987e-05,4.0574687776025105e-05,1.5816445401593807e-05,1.4258334420645303e-05,1.0091769500664476e-05,2.8773958775958487e-06,3.864966138091902e-06,2.535759051318799e-06,5.364835278441934e-07,1.0481352324030304e-06,6.394009518102094e-07,1.0138539564824553e-07,0.0004,0.00039999999999999996,0.0004,1.925715320283367e-05,1.8728573674028384e-05,1.0308782463031183e-05,1.9919128350768035e-06,2.3057735288593477e-06,2.058009275999484e-07,5.534995274869588e-07,6.376945837356685e-07,1.5441921892395857e-07,1.0439496634833274e-07,1.253007487239588e-07,2.0142483372654065e-08,2.005439554986236e-08,2.4973119446361117e-08,2.796818755742247e-09,3.850356252717135e-09,4.97384517944908e-09,3.8662192111222646e-10,100.0,90.0,85.0,65.0
S028,Fall,1247.3212927756654,38143.71988573242,11206.274562306899,1968273,240343579,108812926,1968273.0,240343579.0,108812926.0,1579,6302,9711,1058,4509,6064,0.09753008233058898,0.07378609965090448,0.11883431160539595,85,287,320,15,55,79,1,3,2,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0004629026153815682,0.00040836676979323465,0.00043544222258714817,3.2291411818001913e-05,2.641736617064929e-05,3.113284258907191e-05,2.9360682212425178e-06,2.3317071136949926e-06,3.062200170003703e-06,2.7501384149824583e-07,2.1735714308821456e-07,3.149767168761101e-07,2.6543653332527713e-08,2.1359120079728337e-08,3.3400005753516235e-08,2.61008985842842e-09,2.172446192623542e-09,3.590494215984697e-09,0.0004,0.0004,0.0004,4.010901066588766e-06,2.8739009846647636e-06,3.5828922495274108e-06,-8.16072520036672e-07,-8.42228211926992e-07,-7.660640436130031e-07,9.982729479246079e-09,8.399621472394233e-09,1.2688383072727263e-08,-3.902635595699896e-12,-7.343495682258187e-11,1.8585716133867688e-10,4.137322917567236e-12,8.884346199160805e-13,1.6006524891509972e-11,1.4380307974617163e-13,-3.9749876795390314e-15,8.772474083373811e-13,100.0,100.0,100.0,87.0
